pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_rad,st_mass
"KMT-2023-BLG-1454L b",14.10000000,200.23189641,,,,,0.170000
"Kepler-1440 b",1.26000000,2.13000000,39.85948400000,597.00,5698.00,0.960000,0.980000
"WASP-130 b",9.97601000,390.93090000,11.55098000000,833.00,5625.00,0.960000,1.040000
"OGLE-2017-BLG-1049L b",12.80000000,1760.00000000,,,,,0.550000
"Kepler-949 b",2.91000000,8.80000000,8.68930729600,782.00,5403.00,0.860000,0.890000
"Kepler-1964 b",1.78105870,3.83000000,2.44082999200,986.00,4803.00,0.698000,0.752000
"KMT-2023-BLG-1592L b",14.10000000,184.34047606,,,,,0.550000
"OGLE-2019-BLG-0362L b",13.10000000,1036.12060682,,,,,0.420000
"KMT-2017-BLG-1057L b",5.19000000,23.50000000,,,,,0.570000
"KMT-2025-BLG-1616L b",7.34000000,42.32000000,,,,,0.260000
"Wolf 327 b",1.24000000,2.53000000,0.57347450000,996.00,3542.00,0.406000,0.405000
"Kepler-62 f",1.41000000,35.00000000,267.29100000000,208.00,4925.00,0.640000,0.690000
"WASP-53 c",,5196.52050000,2840.00000000000,110.47,4953.00,0.798000,0.839000
"KMT-2023-BLG-1743L b",12.10000000,6356.56814000,,,,,0.110000
"TOI-5789 c",2.86000000,5.00000000,12.92774800000,718.00,5185.00,0.833000,0.821000
"MOA-2019-BLG-008L b",12.20000000,5720.91132600,,,,,0.900000
"OGLE-2016-BLG-1598L b",13.60000000,120.77479466,,,,,0.550000
"OGLE-2017-BLG-1275L b",12.80000000,1875.18760130,,,,,0.630000
"HATS-44 b",11.96000300,177.98480000,2.74390040000,1161.00,5080.00,0.847000,0.860000
"HD 160691 b",,1366.66215010,645.00000000000,262.13,5773.00,1.330000,1.130000
"Kepler-132 b",1.21000000,1.92000000,6.17819600000,1082.00,6003.00,1.178000,0.929000
"KMT-2021-BLG-0192L b",6.56000000,34.96112477,,,,,0.270000
"Kepler-49 b",2.57900000,9.77000000,7.20000000000,509.00,4095.60,0.618000,0.607000
"KMT-2016-BLG-2364L b",13.00000000,1250.00000000,,,,,0.500000
"Kepler-218 c",3.14000000,10.00000000,44.69957600000,500.00,5502.00,1.063000,1.019000
"GJ 328 c",4.91000000,21.40000000,241.80000000000,184.01,3897.00,0.630000,0.650000
"K2-212 b",2.65000000,7.51000000,9.79564700000,542.00,4349.00,0.678000,0.622000
"Kepler-138 d",1.51000000,2.10000000,23.09230000000,345.00,3841.00,0.535000,0.535000
"KMT-2022-BLG-1818L c",13.20000000,114.41822652,,,,,0.790000
"Qatar-8 b",14.40356500,117.91493000,3.71495000000,1457.00,5738.00,1.315000,1.029000
"KMT-2018-BLG-0885L b",11.90000000,9217.02380300,,,,,0.290000
"KMT-2016-BLG-2321L b",13.80000000,301.93698665,,,,,0.730000
"Kepler-74 b",10.76000000,200.22000000,7.34071100000,1078.00,6000.00,1.120000,1.180000
"OGLE-2017-BLG-0482L b",2.95000000,9.00000000,,,,,0.200000
"PSR B0329+54 b",1.22000000,1.97000000,10140.00000000000,,,,1.440000
"K2-140 b",13.56286665,295.58041851,6.56918800000,962.00,5585.00,1.060000,0.960000
"HD 184010 c",11.80000000,95.34852210,484.30000000000,457.53,4971.00,4.860000,1.350000
"EPIC 201595106 b",1.56500000,7.67000000,0.87724000000,2038.00,5679.00,0.980000,0.958000
"TOI-1203 e",7.31000000,42.10000000,204.59000000000,,5737.00,1.179000,0.886000
"Kepler-1503 b",2.27000000,5.77000000,96.16987000000,321.00,5069.00,0.740000,0.770000
"Kepler-1781 b",2.38091029,6.26000000,4.88752985000,1003.00,5568.00,0.957000,1.053000
"Kepler-57 c",2.19600000,6.86000000,11.60000000000,671.00,5187.90,0.826000,0.859000
"Kepler-1124 b",1.28000000,2.18000000,2.85234897500,621.00,3658.00,0.340000,0.350000
"Kepler-1581 b",0.80000000,0.43700000,6.28385491000,1108.00,6022.00,1.230000,1.120000
"Kepler-464 b",3.30000000,10.90000000,7.25696522400,1163.00,5933.00,1.590000,1.210000
"Kepler-1580 b",2.11000000,5.10000000,56.64492790000,733.00,6228.00,2.150000,1.470000
"Kepler-198 d",1.53000000,2.96000000,1.31184443000,1562.00,5636.00,0.930000,0.970000
"TOI-1422 b",3.83000000,9.50000000,12.99894000000,870.00,5840.00,1.019000,0.990300
"HD 73267 c",12.80000000,1630.77755632,17071.78045000000,69.53,5387.00,0.909000,0.930000
"Kepler-580 b",2.57000000,7.13000000,8.22241965600,558.00,4298.00,0.640000,0.670000
"KOI-12 b",13.78707000,349.61300000,17.85518200000,911.00,6635.00,1.400000,1.500000
"Kepler-637 b",4.75000000,20.20000000,23.20584623000,1002.00,6096.00,2.560000,1.640000
"HD 29985 b",12.80000000,1739.47487151,20608.14049000000,46.73,4678.00,0.574666,0.750000
"HD 165155 b",13.20000000,918.52870000,434.50000000000,239.90,5426.00,0.950000,1.020000
"HD 22946 d",2.60700000,26.57000000,47.42489000000,546.00,6169.00,1.117000,1.098000
"Kepler-1697 b",1.25954761,2.12000000,33.49690000000,630.00,4681.53,0.772344,0.747000
"Kepler-674 b",1.69000000,3.50000000,2.24338184700,822.00,4192.00,0.570000,0.600000
"Kepler-873 b",3.75000000,13.50000000,20.55338440000,749.00,6163.00,1.270000,1.180000
"Kepler-783 b",0.78000000,0.39900000,4.29264638000,991.00,5521.00,0.890000,0.930000
"HD 31527 c",3.85000000,14.16000000,51.20530000000,571.07,5898.00,1.073694,0.960000
"Kepler-1955 b",1.16654878,1.69000000,14.26519966000,853.00,5825.00,1.291000,1.049000
"Kepler-1684 b",2.87084792,8.60000000,47.70550000000,347.00,4706.54,0.666755,0.750000
"Kepler-322 c",1.67000000,3.43000000,4.33723400000,996.00,5388.00,0.890000,0.908000
"Qatar-5 b",12.40836300,1373.02560000,2.87923190000,1415.00,5747.00,1.076000,1.128000
"Kepler-399 c",1.43000000,2.63000000,26.67569000000,630.00,5502.00,0.680000,0.902000
"DMPP-2 c",8.26000000,51.79000000,3.16800000000,1910.88,6500.00,1.780000,1.410000
"Kepler-682 b",7.37000000,42.60000000,12.61190667200,753.00,5559.00,0.890000,0.920000
"TOI-220 b",3.03000000,13.80000000,10.69526400000,805.00,5298.00,0.858000,0.825000
"TOI-5624 f",3.66000000,13.00000000,45.37000000000,478.50,5327.00,0.820000,0.858000
"Kepler-242 b",2.61000000,7.32000000,8.20395000000,742.00,5020.00,0.850000,0.748000
"Kepler-258 b",4.06000000,15.50000000,13.19722000000,642.00,4942.00,0.915000,0.820000
"TOI-4898 b",3.71979540,13.40000000,2.76520470167,667.00,4201.57,0.639344,0.619077
"Kepler-1292 b",1.82000000,3.97000000,3.27646405000,1195.00,5556.00,0.930000,0.950000
"HD 128717 b",12.10000000,6293.00245860,3420.00000000000,151.90,6210.00,1.248000,1.212000
"Kepler-1058 b",2.72000000,7.85000000,110.96546000000,239.00,4644.00,0.690000,0.730000
"Kepler-160 b",1.71500000,3.59000000,4.30939700000,1134.00,5471.00,1.118000,1.003000
"Kepler-1365 b",0.92000000,0.72100000,7.69993485000,969.00,5770.00,1.050000,1.000000
"Kepler-346 c",3.07000000,9.64000000,23.85154900000,654.00,6033.00,1.021000,0.943000
"Kepler-1489 b",1.77000000,3.78000000,82.29475100000,400.00,5655.00,0.900000,0.930000
"Kepler-1126 b",1.73000000,3.64000000,108.59332900000,374.00,5798.00,0.930000,0.920000
"Kepler-1914 b",2.94298030,8.97000000,30.82789993000,585.00,5982.00,0.960000,1.047000
"HATS-43 b",13.22662000,82.95363000,4.38884970000,1003.00,5099.00,0.812000,0.837000
"Kepler-685 b",10.58000000,78.80000000,1.62552220000,1579.00,5963.00,1.160000,1.110000
"Kepler-1303 b",1.42000000,2.60000000,7.56127224000,891.00,5771.00,1.000000,1.010000
"Kepler-1016 b",2.18000000,5.39000000,1.95452434200,1540.00,5821.00,1.000000,0.990000
"HIP 54373 c",3.57000000,12.44000000,15.14400000000,463.20,4021.00,0.564998,0.570000
"L 363-38 b",2.00000000,4.67000000,8.78100000000,330.00,3129.00,0.274000,0.210000
"Kepler-417 c",2.69000000,7.70000000,15.94300000000,616.00,5177.00,0.806000,0.900000
"K2-396 c",3.12400000,9.93000000,25.76051000000,,5236.00,0.920000,0.954000
"Kepler-1992 b",0.91000000,0.69300000,15.61122380000,637.00,5383.00,0.842000,0.874000
"Kepler-134 b",2.00000000,4.66000000,5.31742900000,1105.00,5983.00,1.176000,0.956000
"Kepler-559 b",3.61000000,12.70000000,17.58752333000,706.00,5630.00,0.950000,0.960000
"WASP-34 b",11.20900000,177.98480000,4.31768000000,1250.00,5700.00,0.910000,0.960000
"Kepler-1426 b",1.56000000,3.05000000,14.25632270000,797.00,5831.00,1.020000,1.020000
"Kepler-156 b",2.30000000,5.90000000,4.97345600000,867.00,5094.00,0.807000,0.864000
"HATS-64 b",18.81991100,305.11680000,4.90889700000,1793.00,6554.00,2.113000,1.564000
"Kepler-610 b",4.19000000,16.30000000,6.99692655400,888.00,5943.00,1.130000,1.100000
"Kepler-524 c",0.96000000,0.84000000,1.88897906000,1574.00,6014.00,1.100000,1.090000
"Kepler-398 c",1.01000000,1.01000000,11.41941200000,536.00,4493.00,0.613000,0.649000
